馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ロイガヴェーグル,牡6,中村,栗東・浜田,差し,11.2,5,12,4歳以上2勝クラス,36.4,450(-4),阪神,77,中10週,Y,,3,サトノアラジン,フレンチデピュティ,,
2,2,グラスビジョン,牡4,大江圭,美浦・佐藤吉,差し,75.5,10,11,4歳以上1勝クラス,40.0,438(-8),中山,49,中6週,Y,,3,ノーブルミッション,ディープインパクト,,
3,3,ポワンキュルミナン,牡6,小牧加,栗東・岡田,差し,11.9,6,9,障害4歳以上未勝利,14.2,432(-10),阪神,56,中7週,Y,,3,ロゴタイプ,フジキセキ,,
4,4,レヴァントリ,セ4,五十嵐,美浦・大和田,差し,32.5,7,13,障害4歳以上未勝利,13.9,464(-6),中山,49,中6週,Y,,3,ドレフォン,ハービンジャー,,
5,5,ニシノルアノーヴァ,牡4,,美浦・古賀慎,差し,7.1,3,8,障害4歳以上未勝利,13.9,490(-10),中山,63,中8週,Y,,3,リオンディーズ,ハーツクライ,,
6,5,ベールドインパクト,セ4,難波,美浦・小島,差し,37.8,9,11,3歳未勝利,41.3,442(-10),中山,246,中34週,Y,Y,2,ダノンバラード,タートルボウル,,
7,6,ブランフォルテ,牡4,水沼,美浦・辻,追込,34.5,8,11,障害4歳以上未勝利,14.5,480(-2),小倉,85,中11週,Y,,3,シルバーステート,ブライアンズタイム,,
8,6,ドラギニャン,牡4,井上,栗東・河嶋,,2.0,1,3,障害4歳以上未勝利,13.8,418(0),阪神,21,中2週,Y,,3,オルフェーヴル,シンボリクリスエス,,
9,7,ガイ,セ4,草野,美浦・本間,差し,109.5,11,13,4歳以上1勝クラス,38.1,472(-4),中京,49,中6週,Y,,3,ラニ,クロフネ,,
10,7,フレイムジョーカー,牡7,上野,美浦・岩戸,差し,9.1,4,14,3歳以上1勝クラス,39.2,498(+4),中京,147,中20週,Y,,3,ロージズインメイ,ブラックタイド,,
11,8,シャトーホークビル,牡4,江田勇,美浦・加藤和,差し,195.0,12,18,3歳以上1勝クラス,35.4,452(+16),新潟,203,中28週,Y,Y,3,ホークビル,Cozzene,,
12,8,ラパンラピッド,セ6,坂口,美浦・武井,先行,4.3,2,6,障害4歳以上未勝利,14.2,488(-8),小倉,92,中12週,Y,,3,ルーラーシップ,ダイワメジャー,,
