着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,5,10,アヴァランチ,牡3,57.0,三浦,1:19.4,,1,2.8,36.9,美浦加藤士,466(-2)
2,6,12,ヴィスクレス,牡3,57.0,原,1:19.7,2,6,22.4,36.3,美浦矢嶋,452(+4)
3,8,16,レイズレガシー,牡3,57.0,佐々木,1:19.7,ハナ,4,10.4,36.0,美浦高柳瑞,504(-2)
4,6,11,ゲンテン,牡3,57.0,戸崎圭,1:20.0,1.3/4,3,3.9,37.3,美浦尾関,506(-6)
5,4,7,ニシノランペイジ,牡3,57.0,田辺,1:20.2,1.1/4,10,98.8,38.8,美浦松山,470(-4)
6,3,6,カフェタンガロア,牡3,57.0,小林脩,1:20.3,クビ,7,37.3,36.2,美浦嘉藤,474(+20)
7,2,3,アサクサダイアナ,牝3,55.0,吉田豊,1:20.4,1/2,9,82.9,38.0,美浦田島,434(-2)
8,4,8,ココラッシー,牡3,57.0,レーン,1:20.5,1/2,2,2.8,36.5,美浦室井,444(-2)
9,3,5,ガヤーズベース,牡3,57.0,北村宏,1:20.7,1.1/2,14,226.2,35.7,美浦田中勝,466(-4)
10,7,13,リアルパラダイス,牡3,54.0,▲水沼,1:21.4,4,11,103.7,37.4,美浦西田,452(0)
11,1,1,メイショウバリスタ,牡3,57.0,津村,1:21.4,クビ,8,43.7,37.0,美浦西田,440(-8)
12,1,2,セイウンサクラサケ,牝3,55.0,黛,1:21.8,2,15,285.7,37.2,美浦青木,458(+6)
13,5,9,カプリースカラー,牝3,52.0,▲佐藤,1:22.1,1.3/4,5,20.7,39.2,美浦金成,416(0)
14,8,15,タケノリダー,牡3,57.0,木幡巧,1:24.0,大,16,314.9,39.6,美浦武市,452(+6)
15,7,14,ドヒョウノビガク,牡3,57.0,松本,1:24.5,3,12,150.0,38.2,美浦鈴木伸,488(0)
16,2,4,ダイコクヤタエモン,牡3,57.0,石橋脩,1:24.6,1/2,13,150.4,42.4,美浦牧,518(-4)
