馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,サトノソティラス B,牡4,鮫島駿,栗東・池江,先行,5.6,2,4,4歳以上2勝クラス,34.4,502(+6),東京,15,中1週,Y,,3,サトノダイヤモンド,Street Boss,
2,2,シュプリンガー B,セ7,国分優,栗東・小栗,差し,117.2,8,7,,38.8,504(-2),京都,14,中1週,Y,,3,ラブリーデイ,ハーツクライ,
3,3,ベイラム,牡4,吉村,栗東・武英,先行,7.9,4,3,,35.8,442(+4),福島,28,中3週,Y,,3,サートゥルナーリア,Sligo Bay,
4,4,パープルクラウド,牡6,菱田,栗東・吉村,差し,130.6,9,15,,37.4,524(+4),小倉,85,中11週,Y,,3,ドゥラメンテ,Galileo,
5,5,ファーングロット,牡4,,栗東・上村,先行,1.5,1,2,,34.1,498(0),阪神,77,中10週,Y,,3,キズナ,キングカメハメハ,
6,6,アスクデッドヒート,牡4,古川奈,栗東・矢作,差し,7.7,3,1,4歳以上1勝クラス,35.0,480(+6),福島,21,中2週,Y,,3,ルーラーシップ,ディープインパクト,
7,7,プレイリードリーム,牡1,太宰,栗東・安達,差し,183.4,10,9,,34.6,468(+2),京都,21,中2週,Y,,3,ドリームジャーニー,メイショウオウドウ,
8,7,メイショウアイル,牡4,秋山稔,栗東・高橋忠,先行,14.2,5,1,4歳以上1勝クラス,34.4,482(+4),中京,49,中6週,Y,,3,ミッキーアイル,アグネスデジタル,
9,8,エルディアブロ,牡8,団野,栗東・宮地,差し,29.5,6,3,,34.7,460(+4),京都,21,中2週,Y,,3,キングカメハメハ,ジャングルポケット,
10,8,ビップチェイス B,牡5,藤懸,美浦・田島,,36.5,7,7,,36.6,454(-8),福島,28,中3週,Y,,3,アルアイン,ナリタトップロード,
