着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,16,カレンデュラ,牝3,55.0,嶋田,0:56.0,,1,4.2,33.5,美浦室井,424(-6)
2,4,8,ウィングブルー,牝3,55.0,ゴンサ,0:56.1,3/4,3,5.9,33.2,美浦斎藤誠,492(+2)
3,2,3,ブレイヴソルジャー,牡3,57.0,石田,0:56.3,1.1/4,8,13.7,33.5,美浦新開,454(+2)
4,5,9,ミヤフロント,牝3,55.0,森田,0:56.3,クビ,11,76.0,33.7,栗東斉藤崇,456(-4)
5,8,15,シーグルロス,牝3,55.0,丹内,0:56.4,クビ,4,6.1,34.0,美浦尾形,454(+2)
6,6,12,クワイエットアイ,牡3,57.0,柴田裕,0:56.5,クビ,9,34.9,33.7,栗東中竹,456(-10)
7,7,14,トモジャオーリー,牝3,55.0,小林美,0:56.8,1.3/4,5,6.4,34.4,美浦鈴木伸,442(+4)
8,6,11,エムティリオ,牝3,55.0,上里,0:56.8,ハナ,12,87.8,33.7,美浦小野,414(+6)
9,1,2,コパノトーマス,牡3,57.0,菊沢,0:56.8,アタマ,7,11.7,33.8,美浦青木,476(+2)
10,2,4,カシノリアーナ,牝3,55.0,石神道,0:56.8,クビ,16,248.7,33.6,美浦天間,432(-2)
11,3,6,アースコーリング,牡3,57.0,井上瑛,0:56.8,ハナ,14,147.3,33.4,地方五十冬,498(-8)
12,3,5,コウジハラ,牝3,55.0,木幡初,0:56.8,ハナ,13,108.8,34.2,美浦西田,426(+8)
13,1,1,クイーンレグナント,牝3,55.0,杉原,0:57.1,1.3/4,10,66.0,33.9,美浦嘉藤,444(-4)
14,7,13,オタルイーグル,牡3,57.0,亀田,0:57.3,1.1/4,2,5.6,34.8,栗東高柳大,492(0)
15,4,7,フローラルツッキー,牝3,55.0,河原田,0:57.4,1/2,15,244.1,34.2,美浦伊坂,432(+4)
16,5,10,ダブルチャレンジ,牝3,55.0,長岡,0:57.7,1.3/4,6,9.5,35.4,美浦深山,440(+2)
