馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,エスシービクトリア,牡3,横山和,美浦・村田,先行,3.0,2,2,3歳1勝クラス,39.7,502(+2),中山,77,中10週,Y,,3,マクフィ,アフリート,,
2,2,ターフクリスタル,牡3,江田照,美浦・矢野,差し,40.1,7,1,3歳未勝利,36.6,458(0),東京,14,中1週,Y,,3,インカンテーション,サクラローレル,,B
3,3,ナックホワイト,牝3,松山,美浦・杉浦,,16.0,5,11,3歳1勝クラス,36.5,482(-4),東京,21,中2週,Y,,3,ブリックスアンドモルタル,ステイゴールド,,
4,4,ヒシアムルーズ,牡3,レーン,美浦・堀,差し,8.9,4,13,,35.6,474(-6),東京,35,中4週,Y,,3,サートゥルナーリア,Sightseeing,,
5,5,バトルアックス,牡3,戸崎圭,栗東・今野,先行,2.1,1,1,3歳未勝利,36.3,508(-10),阪神,56,中7週,Y,,3,ヘンリーバローズ,バトルプラン,,
6,5,ショウナンダイン,セ3,三浦,美浦・森一,差し,23.8,6,8,3歳1勝クラス,34.4,468(0),東京,21,中2週,Y,,3,サートゥルナーリア,Northern Afleet,,
7,6,エイシンニラク,牡3,佐々木,美浦・勢司,差し,47.4,8,1,3歳未勝利,38.8,476(+6),中山,77,中10週,Y,,3,サトノクラウン,エイシンアポロン,,
8,6,シエルライズ,牡3,菊沢,美浦・小手川,先行,238.3,12,14,3歳1勝クラス,38.2,502(-2),中山,69,中9週,Y,,2,マテラスカイ,ダンスインザダーク,,
9,7,カシノスパーク,牡3,石神道,美浦・天間,差し,79.0,10,1,3歳未勝利,38.9,470(+6),新潟,27,中3週,Y,,3,ロジャーバローズ,Hansen,,
10,7,オクトーバーナイン,牡3,ゴンサ,美浦・稲垣,先行,6.3,3,9,3歳1勝クラス,40.1,490(-2),中山,77,中10週,Y,,3,コパノリッキー,ジャスタウェイ,,
11,8,ラフレードピエル,牡3,長浜,美浦・萱野,追込,117.1,11,10,3歳1勝クラス,37.2,448(-2),東京,104,中14週,Y,,3,クリソベリル,スウェプトオーヴァーボード,,
12,8,ムーランオランジュ,牡3,小崎,栗東・小崎,先行,51.6,9,7,3歳1勝クラス,37.2,484(-2),東京,27,中3週,Y,,3,カリフォルニアクローム,Monarchos,,
