馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ゴヴェルナーレリコ,牝5,小林美,美浦・辻,差し,42.2,10,11,4歳以上2勝クラス,38.3,448(-4),東京,97,中13週,Y,,3,エイシンフラッシュ,タートルボウル,
2,1,ラファールドール B,セ5,ゴンサ,美浦・田島,差し,39.8,9,8,,38.7,484(0),中山,48,中6週,Y,,3,ニューイヤーズデイ,ステイゴールド,
3,2,コスモコンフェルマ B,牡4,菊沢,美浦・鈴木慎,先行,18.5,5,15,,39.3,476(+4),中京,69,中9週,Y,,3,ホッコータルマエ,ジャングルポケット,
4,2,フジレイメイ,牡4,,美浦・小笠,差し,23.4,8,5,,37.0,508(+6),中山,56,中7週,Y,,3,サンダースノー,アフリート,
5,3,ディズレーリ B,セ6,佐々木,美浦・池上,差し,20.2,7,1,,37.5,524(+4),中京,63,中8週,Y,,3,エピファネイア,Siyouni,
6,3,オーシンハーフ,セ5,石川,栗東・高橋一,先行,18.7,6,11,,39.0,448(-2),中山,48,中6週,Y,,3,シニスターミニスター,キングカメハメハ,
7,4,ベルイストワール,牝5,杉原,美浦・松尾,追込,160.4,14,9,,38.1,550(+6),新潟,27,中3週,Y,,3,ミッキーグローリー,Giant's Causeway,
8,4,ホークライト B,セ4,田辺,美浦・中舘,,9.4,3,16,4歳以上2勝クラス,40.3,486(0),中山,63,中8週,Y,,3,ハービンジャー,クロフネ,
9,5,ヴァズレーヌ,牝5,小崎,美浦・嘉藤,先行,84.6,12,1,4歳以上1勝クラス,40.4,482(0),新潟,21,中2週,Y,,3,フリオーソ,クロフネ,
10,5,オセアバトルプラン B,牡6,長浜,美浦・菊川,差し,89.0,13,8,,37.3,484(+10),阪神,48,中6週,Y,,3,バトルプラン,タニノギムレット,
11,6,オウケンボルト,牡7,吉田豊,美浦・松永康,差し,81.5,11,5,,35.6,464(0),東京,105,中14週,Y,,3,フェノーメノ,オウケンブルースリ,
12,6,シゲルカミカゼ,牡6,大野,美浦・松山,先行,11.2,4,3,,37.2,518(0),東京,20,中2週,Y,,3,ドレフォン,サウスヴィグラス,
13,7,タイセイカイザー,牡4,ルメー,栗東・奥村豊,差し,1.5,1,2,,36.5,498(0),東京,20,中2週,Y,,3,アジアエクスプレス,エンパイアメーカー,
14,7,レッドリベルタ,牡5,舟山,栗東・庄野,差し,8.1,2,9,4歳以上2勝クラス,37.6,460(+2),阪神,55,中7週,Y,,3,リアルスティール,キングカメハメハ,
15,8,ルーラーリッチ B,セ6,遠藤,美浦・小島,差し,173.0,15,7,,38.3,494(-6),中山,48,中6週,Y,,3,ルーラーシップ,チチカステナンゴ,
16,8,デルマタモン B,牡8,北村宏,美浦・勢司,差し,238.6,16,7,,37.1,508(-4),中山,56,中7週,Y,,3,オンファイア,キングカメハメハ,
