着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,5,10,ザーフィル,牡3,55.0,レーン,1:37.1,,1,1.2,36.6,美浦林,560(+6)
2,8,16,ザローズハーツ,牝4,56.0,佐々木,1:38.0,5,6,30.3,37.3,美浦大竹,454(+4)
3,3,6,カルフ,セ5,58.0,原,1:38.4,2.1/2,2,10.5,37.5,美浦大和田,472(-4)
4,1,2,ピースサイン,牡3,55.0,ゴンサ,1:38.5,3/4,3,12.2,37.5,美浦浅利,456(0)
5,3,5,ファンタイムギフト,セ4,58.0,丹内,1:38.6,クビ,4,14.0,37.2,美浦相沢,494(+2)
6,2,3,タキノボリ,牡4,58.0,横山和,1:38.7,1/2,10,71.4,36.1,美浦勢司,472(+6)
7,5,9,タイセイエムロード,牡3,52.0,▲石田,1:38.8,1,5,21.8,36.4,美浦新開,472(+6)
8,4,8,ベンメリア,セ4,58.0,嶋田,1:39.3,3,14,260.8,38.1,美浦奥平,494(+14)
9,6,12,パッカパッカブー,セ5,58.0,杉原,1:39.4,クビ,11,206.8,36.5,美浦堀内,488(+2)
10,8,15,オンサイト,牡4,55.0,▲大久保,1:39.4,クビ,15,272.7,38.0,美浦岩戸,456(-8)
11,7,13,カンレイスキー,牡4,58.0,江田照,1:39.6,1.1/4,9,66.6,36.7,美浦竹内,478(-2)
12,7,14,レッドシュトラール,セ4,56.0,△舟山,1:39.8,3/4,8,48.6,38.9,美浦宮田,482(+8)
13,1,1,ユーウェイン,セ4,58.0,小林脩,1:39.8,クビ,12,250.8,38.3,美浦本間,468(+4)
14,6,11,タイセイエキサイト,牡3,55.0,黛,1:39.9,クビ,13,256.9,38.0,美浦青木,496(-8)
15,2,4,ドルビナ,牡4,58.0,野中,1:40.2,2,7,48.1,38.0,美浦杉浦,466(+2)
16,4,7,アイファーファイト,牡7,58.0,松岡,1:40.7,3,16,333.4,38.4,美浦的場,442(-2)
