馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ペンテリコン,牝4,森田,栗東・武幸,先行,14.8,5,7,4歳以上1勝クラス,38.3,482(-4),新潟,34,中4週,Y,,3,シルバーステート,Frankel,
2,2,ミルトベスト,牡3,藤懸,栗東・中村,差し,22.5,8,8,3歳1勝クラス,33.7,460(-10),京都,20,中2週,Y,,3,ファインニードル,ブラックタイド,
3,3,ブライトアゲイン,牝5,松山,栗東・森秀,差し,7.3,2,4,4歳以上1勝クラス,33.8,482(-8),京都,34,中4週,Y,,3,Practical Joke,Elusive Quality,
4,3,フェリーニ B,セ5,和田陽,栗東・橋口,差し,22.2,7,7,,32.6,492(-10),新潟,27,中3週,Y,,3,ドレフォン,ディープインパクト,
5,4,リアルアルバ,牡3,田口,栗東・大橋,先行,53.7,9,16,3歳1勝クラス,40.1,470(-2),京都,21,中2週,Y,,3,マテラスカイ,スペシャルウィーク,
6,4,フェゲフォイア B,牡6,菱田,栗東・岡田,差し,326.4,14,13,4歳以上1勝クラス,34.5,460(-4),新潟,20,中2週,Y,,3,アドマイヤムーン,Flying Spur,
7,5,ダイアナクイーン,牝4,酒井,栗東・高橋康,,19.1,6,3,4歳以上1勝クラス,36.6,504(-6),京都,28,中3週,Y,,3,マクフィ,グラスワンダー,
8,5,ヴァージル,牡4,Ｍデム,栗東・小椋,差し,8.0,4,7,4歳以上1勝クラス,33.1,462(-8),阪神,56,中7週,Y,,3,ビッグアーサー,ダンスインザダーク,
9,6,トウカイフルーレ,牡4,西塚,栗東・野中,差し,76.2,12,13,4歳以上1勝クラス,35.1,446(+6),阪神,90,中12週,Y,,3,ファインニードル,ハーツクライ,
10,6,マイケルバローズ B,牡3,川田,栗東・上村,先行,1.7,1,2,3歳1勝クラス,34.1,498(+2),京都,20,中2週,Y,,3,ロードカナロア,ダイワメジャー,
11,7,エスティヴァリス,牝3,松若,栗東・高橋康,差し,69.6,10,14,3歳1勝クラス,35.1,486(+4),阪神,63,中8週,Y,,3,マインドユアビスケッツ,Street Boss,
12,7,フィオラーノ,牡3,角田和,栗東・吉田,先行,7.4,3,6,,35.6,452(-8),新潟,35,中4週,Y,,3,インディチャンプ,エンパイアメーカー,
13,8,スピリットライズ,セ4,高杉,栗東・高柳大,差し,107.2,13,11,4歳以上1勝クラス,38.1,432(-6),新潟,42,中5週,Y,,3,キンシャサノキセキ,High Yield,
14,8,ハルオーブ,牡6,岩田望,美浦・武井,差し,69.7,11,10,4歳以上1勝クラス,33.6,470(-10),京都,20,中2週,Y,,3,ディーマジェスティ,ファルブラヴ,
