着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,4,エクリプスルバン,セ5,58.0,戸崎圭,1:44.2,,1,1.7,37.2,美浦田中博,446(+2)
2,8,10,ゴールドアローン,牝5,56.0,石川,1:44.9,4,9,38.5,37.6,美浦青木,462(0)
3,7,9,ドバイブルース,牡5,58.0,横山武,1:45.2,2,2,5.5,37.8,美浦加藤征,500(0)
4,7,8,アイウィル,牡5,58.0,田口,1:45.2,アタマ,10,44.8,37.4,美浦高木,516(-2)
5,3,3,バギーウィップ,牡4,58.0,武藤,1:45.3,クビ,4,8.6,37.8,美浦大竹,502(+2)
6,6,6,タイセイミッション,セ5,58.0,菊沢,1:45.5,1.1/4,6,19.9,38.4,美浦伊藤圭,532(+2)
7,5,5,ヴァナルガンド,牡6,58.0,津村,1:45.9,2.1/2,7,24.1,38.0,美浦稲垣,472(+2)
8,8,11,クロースコンバット,牡7,58.0,北村宏,1:46.4,2.1/2,8,26.8,39.1,美浦青木,486(-10)
9,6,7,ラフエイジアン,セ6,58.0,ゴンサ,1:46.7,2,5,12.8,38.7,美浦中舘,456(-2)
10,1,1,オリーブグリーン,牡4,58.0,松山,1:47.3,3.1/2,3,7.9,39.6,栗東矢作,524(-14)
11,2,2,メイショウフウドウ,セ5,58.0,三浦,1:48.6,8,11,101.2,41.3,栗東藤原,486(+2)
