馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ツルノマイハシ,牝3,佐々木,美浦・杉浦,差し,3.7,2,2,3歳以上1勝クラス,34.5,466(+8),函館,13,中1週,Y,,3,モーリス,ディープインパクト,,
2,2,キミノナハオリョウ,牝3,遠藤,栗東・千田,差し,112.0,8,9,3歳未勝利,35.5,432(+4),函館,13,中1週,Y,,3,アドマイヤマーズ,フレンチデピュティ,,
3,3,デルマリシリ,牝3,武豊,栗東・田中克,,1.9,1,2,,35.0,474(-4),函館,14,中1週,Y,,3,ビッグアーサー,エイシンフラッシュ,,
4,4,ココソラーレ,牝3,古川奈,美浦・天間,差し,230.3,10,16,3歳未勝利,35.5,430(+8),函館,20,中2週,Y,,3,セイウンコウセイ,オルフェーヴル,,
5,5,ライトニングロッド,牝3,横山琉,栗東・高橋忠,,24.6,6,1,3歳未勝利,35.7,468(+2),函館,20,中2週,Y,,3,サンダースノー,Mark of Esteem,,
6,6,アルバニー,牝5,舟山,栗東・千田,先行,87.8,7,11,3歳以上1勝クラス,34.7,466(+6),函館,13,中1週,Y,,3,ロードカナロア,War Front,,
7,7,メイショウハッケイ,牝3,浜中,栗東・本田,先行,3.8,3,3,,34.8,470(-2),函館,14,中1週,Y,,3,ダイワメジャー,シニスターミニスター,,
8,7,ジュジュドール,牝3,丹内,栗東・西園翔,先行,200.3,9,10,3歳以上1勝クラス,35.4,456(-2),函館,13,中1週,Y,,3,レイデオロ,Exceed And Excel,,
9,8,ルージュナリッシュ,牝4,池添,美浦・手塚徳,先行,19.3,5,6,4歳以上1勝クラス,35.8,460(+6),新潟,62,中8週,Y,,3,ドレフォン,スペシャルウィーク,,
10,8,ストレイトアスク,牝5,小林美,栗東・藤原,先行,12.6,4,4,3歳以上1勝クラス,34.6,438(+2),函館,6,連闘,Y,,3,ロードカナロア,フジキセキ,,
