着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,11,ワイドブリザード,セ5,57.0,浜中,1:43.4,,4,5.1,37.0,栗東佐藤悠,448(-6)
2,6,6,レヴォントゥレット,牡5,58.0,鮫島駿,1:44.1,4,7,13.6,37.3,栗東矢作,488(+6)
3,6,7,ヒルノハンブルク,牡4,57.0,武豊,1:44.2,1/2,5,6.3,37.7,栗東武英,466(-6)
4,1,1,オウギノカナメ,牡6,57.0,丹内,1:44.5,1.3/4,8,31.6,37.0,美浦高木,484(0)
5,4,4,プロミストジーン,牝4,56.0,池添,1:44.5,アタマ,1,4.2,37.5,美浦上原佑,468(0)
6,5,5,ホールシバン,セ8,58.0,秋山稔,1:44.6,クビ,11,106.9,36.8,栗東高橋忠,540(+16)
7,2,2,ラタフォレスト,牡5,58.0,斎藤,1:44.6,ハナ,2,4.5,37.4,美浦加藤征,506(-4)
8,3,3,テーオードレフォン,牡7,59.0,古川吉,1:45.0,2.1/2,9,37.7,38.4,栗東梅田,500(-6)
9,7,8,アスクデビューモア,牡5,57.0,岩田康,1:45.2,1.1/4,10,62.3,38.3,栗東福永,458(-4)
10,7,9,カナルビーグル,牡4,57.0,横山武,1:45.4,1.1/2,6,10.8,37.6,栗東佐藤悠,520(+12)
11,8,10,コトホドサヨウニ,牡5,58.0,佐々木,1:45.6,1.1/4,3,5.0,38.8,栗東奥村豊,522(+6)
