着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,4,ハルフロンティア,牡4,58.0,舟山,2:00.0,,8,18.7,34.7,栗東池添,510(-4)
2,7,8,デルシエロ,牡5,58.0,丹内,2:00.4,2,4,8.7,34.8,栗東清水久,420(-2)
3,8,9,エトワールブーケ,牝3,53.0,横山和,2:01.1,4,6,13.7,35.3,栗東昆,438(-2)
4,3,3,エオアリイ,牡4,58.0,佐々木,2:01.3,1,9,103.4,35.9,美浦平岩,470(-10)
5,6,6,サイン,牡3,55.0,横山武,2:01.3,クビ,2,4.0,35.8,栗東佐藤悠,522(+2)
6,7,7,モルビド,牝4,56.0,小沢,2:01.4,クビ,5,12.6,35.0,栗東中内田,424(0)
7,5,5,メイショウソラリス,牡3,55.0,松本,2:01.6,1.1/4,7,17.9,35.5,栗東角田,464(0)
8,8,10,ドルチェリターン,牡4,58.0,北村友,2:01.6,ハナ,3,7.3,35.9,栗東前川,462(-6)
9,1,1,クリスレジーナ,牝3,53.0,斎藤,2:01.8,1.1/4,1,2.0,36.2,栗東高野,482(+8)
10,2,2,ゼアズノープレイス,牡7,58.0,的場,2:01.8,クビ,10,303.3,35.7,美浦的場,490(-6)
