着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,6,11,アスクナイスショー,牡5,55.0,田辺,1:57.9,,2,5.0,35.8,美浦中舘,496(-6)
2,3,6,マイネルモーント,牡6,56.0,石川,1:58.3,2.1/2,6,13.2,35.7,美浦高木,464(0)
3,5,9,オニャンコポン,セ7,54.0,吉田豊,1:58.5,1,15,73.5,35.4,美浦小島,468(-8)
4,5,10,センツブラッド,牡4,56.0,原,1:58.6,1,7,14.8,36.3,栗東斉藤崇,470(0)
5,1,1,ボーンディスウェイ,牡7,56.0,丸山,1:58.7,クビ,14,45.6,35.8,美浦牧,494(-2)
6,8,15,ヤマニンブークリエ,牡4,56.0,横山典,1:59.1,2.1/2,5,8.7,36.4,栗東松永幹,514(-4)
7,2,4,カラマティアノス,牡4,58.0,岩田康,1:59.1,クビ,1,4.7,36.5,美浦奥村武,472(-2)
8,3,5,オーロラエックス,牝5,55.0,坂井,1:59.5,2.1/2,11,31.1,36.4,栗東杉山晴,484(-10)
9,1,2,コントラポスト,セ6,56.0,菊沢,1:59.6,クビ,8,15.1,37.3,美浦菊沢,466(-4)
10,8,16,サヴォーナ,牡6,58.0,池添,1:59.7,1/2,3,6.4,37.2,栗東中竹,536(+2)
11,4,8,クリスマスパレード,牝5,55.0,杉原,1:59.9,1.1/2,13,37.3,36.9,美浦加藤士,472(+10)
12,7,13,バトルボーン,牡7,57.0,戸崎圭,2:00.6,4,4,6.9,38.3,美浦林,506(0)
13,6,12,リカンカブール,セ7,57.0,荻野極,2:00.8,1.1/4,10,23.1,37.4,栗東田中克,496(+10)
14,2,3,ショウナンマグマ,セ7,55.0,三浦,2:01.1,2,16,169.8,39.5,美浦尾関,500(-10)
15,7,14,オールナット,牡5,57.5,西村淳,2:01.1,アタマ,12,32.2,38.1,栗東高野,530(-2)
16,4,7,メリオーレム,牡5,55.0,Mデム,2:09.5,大,9,22.9,45.3,栗東友道,498(+2)
