着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,5,5,フィールドノート,牡4,58.0,戸崎圭,1:45.0,,1,3.3,33.4,美浦木村,466(-10)
2,6,7,オルグジェシダ,牝4,56.0,丸山,1:45.0,ハナ,2,3.8,33.3,美浦宮田,480(-10)
3,8,11,キシダンチョウ,牡3,55.0,石川,1:45.2,1.1/2,3,3.8,34.2,栗東吉岡,520(+14)
4,1,1,スワローシチー,牡4,58.0,田辺,1:45.3,3/4,5,12.2,33.5,美浦相沢,474(-4)
5,6,6,カリーン,牝4,56.0,大野,1:45.5,1.1/4,7,44.2,34.0,美浦蛯名正,472(0)
6,7,9,リアルセンター,牝5,56.0,原,1:45.6,アタマ,11,239.1,33.7,美浦千葉,510(-4)
7,3,3,メイショウキンタイ,牡4,55.0,▲佐藤,1:45.7,1/2,8,51.1,34.4,栗東高橋亮,484(+10)
8,2,2,コスモナエマ,牝3,51.0,△石神道,1:45.9,1.1/2,6,16.7,34.6,美浦手塚久,484(+4)
9,8,10,ヴァリスマリネリス,牝3,53.0,荻野極,1:45.9,クビ,4,4.5,34.8,美浦中舘,426(-8)
10,7,8,トラストモアリズム,牝4,54.0,◇今村,1:46.1,1.1/4,9,81.6,33.9,美浦高橋文,430(+12)
11,4,4,ケイツールピア,牝5,53.0,▲石田,1:46.3,1,10,109.7,34.2,美浦蛯名利,428(+18)
