馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ゴールドスター,牡5,丸田,美浦・奥村武,差し,54.1,11,16,,33.2,462(-4),東京,49,中6週,Y,,3,キズナ,アドマイヤムーン,
2,2,ナファロア,セ5,小崎,美浦・菊沢,追込,133.6,15,12,,33.0,448(-4),東京,63,中8週,Y,,3,イスラボニータ,Reliable Man,
3,2,ラビットアイ,牝5,田口,栗東・鈴木孝,差し,20.9,7,7,,35.0,492(+4),福島,27,中3週,Y,,3,エピファネイア,New Approach,
4,3,ケイケイ,セ5,木幡巧,美浦・杉浦,差し,131.9,14,9,,33.9,468(-10),東京,56,中7週,Y,,3,イスラボニータ,Touch Gold,
5,3,ナグルファル,セ4,大野,美浦・中舘,先行,38.6,10,12,4歳以上2勝クラス,38.4,510(-12),阪神,111,中15週,Y,,3,エピファネイア,Bellamy Road,
6,4,ドリームクルーズ,牝5,吉田豊,美浦・戸田,逃げ,65.5,12,8,,35.2,492(-8),東京,62,中8週,Y,,3,エピファネイア,ダイワメジャー,
7,4,ガリレア,牡3,杉原,美浦・清水英,差し,10.4,4,5,,34.7,444(-6),福島,27,中3週,Y,,3,モズアスコット,ステイゴールド,
8,5,ルナルーチェット B,牝4,田辺,美浦・松尾,先行,5.7,3,1,4歳以上1勝クラス,34.2,424(-2),東京,63,中8週,Y,,3,ブリックスアンドモルタル,Quality Road,
9,5,ジーネキング,牡3,斎藤,美浦・斎藤誠,差し,4.6,2,7,,34.7,494(0),福島,27,中3週,Y,,3,コントレイル,Into Mischief,
10,6,メランジェ,牝4,,美浦・田中剛,差し,94.3,13,10,,33.9,452(-2),東京,35,中4週,Y,,3,スワーヴリチャード,Kingmambo,
11,6,ソニックライン B,セ5,石川,美浦・浅利,先行,18.4,6,1,3歳以上1勝クラス,34.0,490(+2),東京,48,中6週,Y,,3,リアルインパクト,シンボリクリスエス,
12,7,ギフテッド,牝4,今村,美浦・武井,差し,36.1,9,9,,34.1,462(-2),東京,35,中4週,Y,,3,モーリス,Medaglia d'Oro,
13,7,ミッキースターダム,セ5,菊沢,栗東・前川,,25.0,8,3,,33.9,460(-14),東京,69,中9週,Y,,3,エピファネイア,ディープインパクト,
14,8,シャンソンドール,牝4,戸崎圭,美浦・奥村武,逃げ,2.3,1,2,,33.3,496(-2),東京,70,中9週,Y,,3,レイデオロ,ダイワメジャー,
15,8,コルドンブルー,牝4,石橋脩,栗東・松永幹,差し,13.4,5,1,4歳以上1勝クラス,33.2,462(+16),京都,70,中9週,Y,,3,キズナ,キングカメハメハ,
