馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ファーヴェント,牡5,西塚,栗東・藤原,差し,10.6,6,9,,34.6,512(0),阪神,35,中4週,Y,,3,ハーツクライ,Street Cry,
2,2,ジュタ,牡4,吉田豊,栗東・矢作,先行,37.5,13,14,,36.4,516(+4),函館,28,中3週,Y,,3,ドゥラメンテ,ストリートセンス,
3,3,アンパドゥ,牡5,岩田望,美浦・木村,差し,4.8,1,1,,32.7,498(+2),東京,78,中10週,Y,,3,Iffraaj,Dubawi,
4,3,マテンロウスカイ,セ7,横山典,栗東・松永幹,差し,31.0,12,17,,33.7,490(+2),京都,91,中12週,Y,,3,モーリス,スペシャルウィーク,
5,4,レディマリオン,牝5,今村,栗東・長谷川,差し,25.0,11,14,,35.6,454(+2),福島,98,中13週,Y,,3,ハービンジャー,サンデーサイレンス,
6,4,シリウスコルト,牡5,田辺,美浦・田中勝,差し,9.0,4,14,,33.6,500(+4),東京,49,中6週,Y,,3,マクフィ,ゼンノロブロイ,
7,5,エルトンバローズ B,牡6,コレッ,栗東・杉山晴,差し,8.9,3,1,,34.2,520(0),阪神,35,中4週,Y,,3,ディープブリランテ,ブライアンズタイム,
8,5,ダノンセンチュリー,牡4,戸崎圭,美浦・宮田,差し,5.0,2,9,,33.0,462(+2),東京,85,中11週,Y,,3,フィエールマン,Lope de Vega,
9,6,サンダーストラック,牡3,丸山,美浦・木村,差し,14.3,9,7,,34.8,530(+2),東京,77,中10週,Y,,3,ロードカナロア,Hinchinbrook,
10,6,クランフォード,牝5,菊沢,栗東・杉山晴,先行,11.3,8,11,,35.6,470(-2),新潟,77,中10週,Y,,3,ブリックスアンドモルタル,キングカメハメハ,
11,7,ドロップオブライト,牝7,松若,栗東・福永,差し,16.0,10,18,,32.9,448(+10),東京,70,中9週,Y,,3,トーセンラー,フレンチデピュティ,
12,7,ランスオブカオス,牡4,石川,栗東・奥村豊,差し,10.3,5,11,,33.4,496(+2),京都,91,中12週,Y,,3,シルバーステート,ローエングリン,
13,8,ブエナオンダ,牡5,田口,栗東・須貝,差し,43.2,14,7,,34.1,458(+4),阪神,35,中4週,Y,,3,リオンディーズ,ディープインパクト,
14,8,メタルスピード,牡6,斎藤,美浦・斎藤誠,,11.1,7,10,,35.9,520(+6),阪神,35,中4週,Y,,3,シルバーステート,Shamardal,
