馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,トウカイエルデ,牡5,岩田康,栗東・茶木,差し,10.8,6,5,,34.4,460(+2),函館,22,中2週,Y,,3,オルフェーヴル,キングカメハメハ,
2,2,デンプシー,牡3,舟山,美浦・上原佑,先行,2.9,1,1,3歳以上1勝クラス,34.4,464(+6),福島,21,中2週,Y,,3,ビッグアーサー,マルカシェンク,
3,3,サンドロナイト,牝5,北村友,栗東・茶木,差し,26.7,10,6,,34.3,474(+14),函館,15,中1週,Y,,3,Capitalist,Foxwedge,
4,3,ホウオウヘッセン,牡3,横山武,美浦・田島,先行,12.3,7,1,3歳以上1勝クラス,35.5,456(-8),函館,14,中1週,Y,,3,ウインブライト,ロージズインメイ,
5,4,マテンロウサン,牡4,横山典,栗東・昆,先行,5.4,2,7,,34.1,506(0),東京,281,中39週,Y,Y,3,Into Mischief,ダイワメジャー,
6,4,ニホンピロトッティ,牝5,浜中,栗東・緒方,逃げ,7.8,3,10,,36.1,424(0),小倉,22,中2週,Y,,3,ディスクリートキャット,サイレントディール,
7,5,ライツユーアップ,牝4,丹内,栗東・角田,差し,41.9,12,4,,34.9,450(+2),函館,22,中2週,Y,,3,スワーヴリチャード,エアジハード,
8,5,ベビーズブレス,牝4,西村淳,栗東・千田,先行,15.5,8,6,,34.7,430(-12),函館,28,中3週,Y,,3,アドマイヤマーズ,Galileo,
9,6,ピースフルナイト,牝6,斎藤,栗東・畑端,差し,108.3,14,11,,35.5,414(-10),阪神,49,中6週,Y,,3,ファインニードル,クロフネ,
10,6,ベルビースタローン,牝4,小林美,美浦・戸田,,9.0,4,9,,35.1,516(-12),函館,28,中3週,Y,,3,ストロングリターン,ゼンノロブロイ,
11,7,バシレウスシチー,牡7,小沢,栗東・岡田,先行,91.7,13,4,,34.9,446(-4),函館,15,中1週,Y,,3,ビッグアーサー,ディープインパクト,
12,7,サンポーニャ,牝6,佐々木,栗東・池江,,35.9,11,1,3歳以上1勝クラス,36.3,456(-4),函館,21,中2週,Y,,3,モーリス,ディープインパクト,
13,8,スイミーユニバンス,牝6,鮫島駿,栗東・平田,追込,24.0,9,7,,33.9,436(-6),函館,28,中3週,Y,,3,ドゥラメンテ,アルデバランII,
14,8,ミキノバカラ,牡4,西塚,栗東・大橋,差し,10.3,5,2,,34.7,486(+6),小倉,22,中2週,Y,,3,ジョーカプチーノ,シニスターミニスター,
