馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,オトコギアンパン,牡5,吉村,栗東・小栗,差し,12.4,6,9,3歳以上2勝クラス,34.4,504(+2),京都,293,中41週,Y,Y,3,モーリス,ディープインパクト,,B
2,2,バガン,牡8,丸山,栗東・宮地,差し,49.0,10,6,,34.7,468(-8),東京,76,中10週,Y,,3,バゴ,ディープインパクト,,
3,3,ショウナンバルドル,セ4,田山,栗東・須貝,差し,4.0,2,7,,34.4,494(+6),阪神,49,中6週,Y,,3,ブリックスアンドモルタル,ディープインパクト,,
4,4,テイエムアイラン,牝3,富田,栗東・宮地,,3.6,1,1,,34.5,414(+4),京都,77,中10週,Y,,3,ミッキーアイル,ノヴェリスト,,
5,5,サクラオーラ,牝7,酒井,栗東・河嶋,先行,29.3,9,5,4歳以上2勝クラス,35.0,450(0),京都,105,中14週,Y,,3,シルバーステート,サウスヴィグラス,,
6,6,マイネルフォルツァ,牡6,コレッ,美浦・金成,差し,25.6,8,6,,35.1,520(+2),福島,34,中4週,Y,,3,ゴールドシップ,グラスワンダー,,B
7,6,スナークピカソ,牡4,西村淳,栗東・高橋一,差し,10.8,5,7,,33.7,474(-4),東京,70,中9週,Y,,3,アジアエクスプレス,ディープインパクト,,
8,7,ビップディラン,牡4,松若,栗東・小椋,先行,5.7,4,1,4歳以上1勝クラス,34.6,458(-8),京都,70,中9週,Y,,3,ミッキーグローリー,ロードカナロア,,
9,7,ケイテンアイジン,牡4,,栗東・谷,先行,116.5,11,2,,39.5,506(-3),佐賀,23,中2週,,,2,アレスバローズ,ケイムホーム,,
10,8,クイックバイオ,牝5,田口,栗東・畑端,差し,19.3,7,2,,34.1,498(0),阪神,139,中19週,Y,,3,ブリックスアンドモルタル,ゼンノロブロイ,,
11,8,オリバナム,牝4,団野,栗東・斉藤崇,先行,4.4,3,2,,33.2,490(+4),東京,83,中11週,Y,,3,ロジャーバローズ,タートルボウル,,
