着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,8,ラベルセーヌ,牝3,53.0,荻野極,1:45.1,,1,1.5,32.3,美浦鹿戸,436(+10)
2,2,2,クライスレリアーナ,牝4,56.0,戸崎圭,1:45.4,2,2,2.5,32.7,美浦木村,474(+4)
3,8,10,メランジェ,牝4,56.0,原,1:45.7,2,4,29.4,32.7,美浦田中剛,450(-2)
4,5,5,キスアンドクライ,牝4,56.0,坂井,1:45.8,クビ,3,10.3,33.3,栗東橋口,456(+4)
5,4,4,ジャンビ,牝5,56.0,菊沢,1:45.9,3/4,8,87.8,33.0,美浦勢司,466(-8)
6,1,1,ウインベアトリス,牝4,56.0,松岡,1:45.9,クビ,5,31.2,33.4,美浦深山,462(+8)
7,3,3,カフェアローロ,牝5,56.0,大野,1:46.3,2,9,105.5,33.2,美浦古賀慎,510(-6)
8,7,7,ビッグデイメイク,牝4,56.0,柴田大,1:47.2,5,10,351.3,33.7,美浦和田雄,436(+10)
9,6,6,ミラーダカリエンテ,牝4,56.0,石川,1:47.5,1.3/4,7,68.6,34.2,美浦相沢,498(+22)
10,8,9,ドリームクルーズ,牝5,56.0,吉田豊,1:52.7,大,6,63.5,40.4,美浦戸田,490(-2)
