馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,プールナバドラ B,牡3,団野,栗東・森秀,逃げ,25.0,7,5,ジュライス,40.8,512(-9),川崎,33,中4週,,,2,Authentic,Curlin,
2,1,ラヴネヴァーダイズ,牡3,松山,栗東・渡辺,先行,2.5,1,3,3歳以上1勝クラス,36.4,476(0),阪神,56,中7週,Y,,3,ミッキーアイル,ジャイアントレッカー,
3,2,メイプルギャング,牡5,柴田裕,栗東・中竹,差し,132.9,14,14,3歳以上1勝クラス,38.9,500(-4),阪神,64,中8週,Y,,3,War Front,Rahy,
4,2,ワイルドブッター B,セ4,高倉,栗東・武英,差し,219.5,15,10,3歳以上1勝クラス,39.5,514(-2),中京,14,中1週,Y,,3,キンシャサノキセキ,Tapizar,
5,3,スレッドザニードル,牡4,国分恭,栗東・安達,差し,83.2,12,7,3歳以上1勝クラス,35.8,470(-4),小倉,21,中2週,Y,,3,ファインニードル,フジキセキ,
6,3,リードプリンシパル,牝4,川端,栗東・秋山,先行,262.0,16,12,3歳以上1勝クラス,38.0,468(-2),中京,8,連闘,Y,,3,ストロングリターン,ゴールドアリュール,
7,4,シュネーグロッケン B,牡4,亀田,栗東・清水久,差し,95.1,13,17,3歳以上1勝クラス,34.9,494(-4),阪神,63,中8週,Y,,3,ナダル,ロードカナロア,
8,4,ナウオアネヴァー B,牡3,小崎,栗東・寺島,,22.9,6,1,3歳未勝利,39.6,502(+2),中京,15,中1週,Y,,3,キズナ,アーネストリー,
9,5,ガビーズブラザー,牡4,秋山稔,栗東・牧田,差し,34.1,9,15,4歳以上1勝クラス,38.6,528(-4),阪神,127,中17週,Y,,3,アポロケンタッキー,スペシャルウィーク,
10,5,グランデスフィーダ,牡6,松若,栗東・佐藤悠,差し,7.0,4,7,3歳以上1勝クラス,36.3,540(-10),阪神,56,中7週,Y,,3,ドゥラメンテ,Bellamy Road,
11,6,アメリカンビヨンド,牡4,西塚,栗東・藤原,差し,4.9,2,5,3歳以上1勝クラス,35.2,536(+8),小倉,21,中2週,Y,,3,McKinzie,Harlan's Holiday,
12,6,アイファーモービル,牡4,藤懸,栗東・宮本,差し,32.5,8,6,3歳以上1勝クラス,34.1,460(-4),小倉,36,中4週,Y,,3,アポロケンタッキー,Vindication,
13,7,ヴォンドゥ,牝3,森田,栗東・小栗,差し,5.6,3,4,3歳1勝クラス,36.0,428(+6),阪神,112,中15週,Y,,3,ルヴァンスレーヴ,Northern Afleet,
14,7,リーグナイト,牡3,,栗東・新谷,差し,8.2,5,3,アルビレオ,36.9,472(-10),門別,25,中3週,,,2,キズナ,キングカメハメハ,
15,8,サヨノパララックス,牡3,川須,栗東・羽月,逃げ,57.5,11,8,3歳以上1勝クラス,33.6,434(0),中京,15,中1週,Y,,3,ミッキーアイル,ハーツクライ,
16,8,シンギタイ,セ4,田口,栗東・庄野,先行,42.8,10,13,3歳以上1勝クラス,40.2,434(-8),阪神,49,中6週,Y,,2,スワーヴリチャード,ヘニーヒューズ,
