馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ライヒスアドラー,牡3,佐々木,美浦・上原佑,差し,1.2,1,8,,33.8,520(+6),東京,70,中9週,Y,,3,シスキン,ハーツクライ,
2,2,コルレオニス,牡5,Ｍデム,栗東・友道,先行,28.6,7,3,,34.0,466(+4),阪神,56,中7週,Y,,3,レイデオロ,ファルブラヴ,
3,3,カニキュル,牝5,杉原,美浦・菊沢,差し,9.8,2,3,,34.1,518(+6),福島,112,中15週,Y,,3,エピファネイア,ゼンノロブロイ,
4,4,ガジュノリ,牝5,田辺,美浦・尾形,差し,11.7,4,5,,33.1,492(-4),東京,70,中9週,Y,,3,サトノダイヤモンド,ヴィクトワールピサ,
5,4,ハギノアルデバラン,牡6,菊沢,栗東・佐藤悠,差し,66.1,8,3,,35.9,504(+2),小倉,36,中4週,Y,,3,ジャスタウェイ,アドマイヤムーン,
6,5,マカナ,牝4,松岡,美浦・伊藤大,差し,10.4,3,4,,34.4,474(+4),東京,49,中6週,Y,,3,ゴールドシップ,タニノギムレット,
7,5,モズロックンロール,牡6,吉村,栗東・藤岡健,差し,102.1,13,10,,33.1,522(+4),新潟,84,中11週,Y,,3,ビーチパトロール,マンハッタンカフェ,
8,6,クリニクラウン,牝6,大野,美浦・小手川,差し,90.8,10,12,,32.8,506(+8),東京,70,中9週,Y,,3,トビーズコーナー,ディープブリランテ,
9,6,サトノヴィレ,セ6,荻野極,美浦・鹿戸,差し,73.4,9,13,,33.9,494(-4),東京,49,中6週,Y,,3,デクラレーションオブウォー,フジキセキ,
10,7,エラン,牡5,田山,美浦・蛯名正,差し,92.2,11,7,,33.9,466(-2),阪神,64,中8週,Y,,3,ラブリーデイ,ディープインパクト,
11,7,デルアヴァー,牡4,坂井,栗東・松永幹,差し,21.4,5,6,,36.7,498(+6),京都,106,中14週,Y,,3,Frankel,Smart Strike,
12,8,エスコバル B,セ8,吉田豊,美浦・高橋文,追込,96.9,12,7,,35.1,520(-2),福島,22,中2週,Y,,3,モーリス,キングカメハメハ,
13,8,テンミラクルスター,牝4,石川,美浦・辻,,28.1,6,6,,34.0,468(+12),東京,70,中9週,Y,,3,エピファネイア,ディープブリランテ,
