馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,エオアリイ,牡4,舟山,美浦・平岩,,11.2,6,4,,35.9,472(+2),函館,29,中3週,Y,,3,ドゥラメンテ,More Than Ready,,B
2,2,グランツローゼ,牝4,河原田,美浦・和田雄,差し,69.6,10,6,,34.6,460(+12),新潟,85,中11週,Y,,3,ゴールドシップ,ロージズインメイ,,
3,3,マテンロウゼロ,牡3,横山典,栗東・松永幹,先行,6.4,4,7,,34.6,480(+12),京都,85,中11週,Y,,3,リオンリオン,ハービンジャー,,
4,4,レジェンドシップ,セ6,浜中,栗東・佐藤悠,先行,4.2,2,3,4歳以上1勝クラス,36.3,448(-6),京都,70,中9週,Y,,3,ゴールドシップ,クロフネ,,
5,5,デルシエロ,牡5,横山琉,栗東・清水久,差し,5.1,3,4,,35.2,418(-4),札幌,14,中1週,Y,,3,レイデオロ,ディープインパクト,,
6,6,サウンドサンライズ,牝4,斎藤,栗東・東田,差し,8.6,5,4,3歳以上1勝クラス,36.0,426(+8),函館,43,中5週,Y,,3,モーリス,ディープインパクト,,
7,7,ストラニエーロ,牝4,小林美,美浦・尾関,先行,34.3,8,11,3歳以上1勝クラス,38.9,454(-6),函館,21,中2週,Y,,2,キズナ,Dubawi,,
8,7,ピティロディア,牡4,池添,美浦・室井,差し,59.2,9,5,,35.4,454(+4),札幌,14,中1週,Y,,3,キンシャサノキセキ,アグネスタキオン,,
9,8,エイカイコバチ,牝3,小沢,栗東・藤原,差し,13.3,7,7,,36.3,452(0),函館,49,中6週,Y,,3,エピファネイア,ディープインパクト,,
10,8,メイショウテンク,牡3,吉田隼,栗東・荒川,差し,3.0,1,10,3歳以上1勝クラス,37.6,456(+10),函館,22,中2週,Y,,3,ポエティックフレア,ブラックタイド,,
