着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,5,10,ナムラクララ,牝4,55.0,浜中,1:08.4,,1,3.6,34.1,栗東長谷川,478(+6)
2,7,13,ルシード,牡4,57.0,北村友,1:08.5,1/2,3,4.7,34.2,美浦田島,512(+14)
3,1,2,アスティスプマンテ,牝5,55.0,舟山,1:08.6,1/2,7,20.2,35.0,栗東佐藤悠,456(+16)
4,3,5,ダノンマッキンリー,牡5,60.0,池添,1:08.7,3/4,8,21.2,34.1,栗東藤原,480(+2)
5,8,16,ロードフォアエース,牡5,58.0,岩田康,1:08.8,1/2,5,11.0,34.9,栗東友道,540(-16)
6,2,3,ブラックチャリス,牝3,55.0,吉田隼,1:08.9,クビ,2,4.5,35.6,栗東武幸,470(+10)
6,3,6,シンバーシア,牝5,55.0,古川吉,1:08.9,クビ,11,32.3,35.0,美浦浅利,456(-2)
8,4,7,ジョーメッドヴィン,牡5,58.0,横山琉,1:08.9,クビ,10,28.5,34.7,栗東清水久,522(0)
9,7,14,マーブルパレス,牝3,53.0,斎藤,1:08.9,ハナ,4,7.4,34.8,栗東茶木,424(0)
10,6,12,サウザンサニー,牡6,57.0,長浜,1:08.9,アタマ,12,33.6,33.9,美浦岩戸,520(0)
11,4,8,モズナナスター,牝4,55.0,古川奈,1:09.1,1,9,27.9,34.5,栗東矢作,458(+10)
12,6,11,ダンツエラン,牝4,55.0,和田陽,1:09.1,クビ,15,174.1,34.3,栗東本田,500(-4)
13,8,15,ウインアイオライト,牝6,55.0,黛,1:09.3,3/4,14,139.7,35.6,美浦矢嶋,478(0)
14,5,9,カンティーユ,牡8,57.0,横山和,1:09.4,3/4,6,16.2,36.1,美浦嘉藤,488(-8)
15,2,4,ステークホルダー,牡6,57.0,川又,1:09.6,1.1/4,16,285.6,35.5,美浦斎藤誠,468(-6)
16,1,1,クファシル,牡6,57.0,小沢,1:09.9,1.3/4,13,77.8,36.3,栗東池添,498(0)
