馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,アメリカンチケット,セ5,小崎,栗東・藤原,,5.3,2,1,,35.5,492(+2),福島,49,中6週,Y,,3,Justify,Bernardini,
2,2,クリノオリーブ,牝5,岩田康,栗東・谷,先行,29.0,11,1,,35.7,462(+2),福島,34,中4週,Y,,3,ニューイヤーズデイ,ダイワメジャー,
3,2,ペレグリン,牝5,今村,栗東・河嶋,先行,57.8,12,1,’26メト,37.2,444(+8),大井,86,中11週,,,2,バンブーエール,マルカシェンク,
4,3,ライトニングゼウス,牡5,,美浦・伊藤圭,先行,10.1,5,1,4歳以上2勝クラス,35.8,508(0),京都,91,中12週,Y,,3,ダンカーク,サクラバクシンオー,
5,3,ワークソング B,牡5,三浦,栗東・牧浦,差し,14.8,8,10,,35.9,488(+6),東京,90,中12週,Y,,3,モーニン,フレンチデピュティ,
6,4,ハクサンアイリス,牡4,丸山,栗東・高橋一,先行,5.6,3,6,,36.3,484(0),京都,83,中11週,Y,,3,ハクサンムーン,デュランダル,
7,4,エンヤラヴフェイス,牡5,川須,栗東・森田,追込,11.9,7,4,,34.9,510(-2),京都,83,中11週,Y,,3,エイシンヒカリ,Devil's Bag,
8,5,スプランドゥール,牡5,石神道,美浦・和田雄,差し,89.7,14,12,,36.8,472(-4),東京,112,中15週,Y,,3,シルバーステート,サクラバクシンオー,
9,5,イノセントキャット,牝5,田辺,美浦・久保田,先行,65.4,13,7,,35.6,444(-10),東京,112,中15週,Y,,3,シュヴァルグラン,キングカメハメハ,
10,6,フウセツ,牡4,武藤,美浦・鈴木慎,先行,15.8,9,9,,36.6,496(0),東京,90,中12週,Y,,3,サンダースノー,アドマイヤムーン,
11,6,ヴェロクオーレ B,牝5,石川,栗東・石坂,先行,10.3,6,3,,35.9,488(+6),小倉,35,中4週,Y,,3,ドゥラメンテ,Bernardini,
12,7,ビバップ B,牡5,吉田豊,栗東・清水久,逃げ,94.2,15,16,,40.0,496(-8),中山,215,中30週,Y,Y,3,モーニン,ジャングルポケット,
13,7,スノーサイレンス,牝4,戸崎圭,栗東・小栗,先行,9.0,4,2,,35.6,464(-2),小倉,35,中4週,Y,,3,サンダースノー,コマンズ,
14,8,パラサイコロジー,牝4,石田,美浦・新開,,23.4,10,16,,34.9,492(+18),新潟,98,中13週,Y,,3,モズアスコット,ダイワメジャー,
15,8,イリフィ,牝4,川田,栗東・高野,差し,4.2,1,2,,35.7,434(+4),福島,42,中5週,Y,,3,Too Darn Hot,Invincible Spirit,
