着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,3,3,クルビデンス,牡3,57.0,佐々木,1:47.6,,1,2.1,38.7,美浦菊川,470(0)
2,7,12,サンオブザサン,牡3,57.0,斎藤,1:47.8,1.1/2,4,11.3,39.1,栗東高橋一,516(+6)
3,1,1,ジャストグレース,牡3,57.0,古川吉,1:48.0,3/4,10,106.4,37.6,栗東大根田,496(+6)
4,5,7,ショウナンタヅナ,牡3,57.0,池添,1:48.0,クビ,5,14.1,39.0,美浦武市,470(0)
5,4,6,フレンチブラッサム,牝3,55.0,横山典,1:48.6,3.1/2,2,4.0,39.0,美浦柄崎,450(-4)
6,8,13,フェンリル,牡3,57.0,菊沢,1:49.0,2.1/2,6,14.6,39.7,美浦高木,502(+2)
7,7,11,ゴーントゥファー,セ3,56.0,☆長浜,1:49.5,3,12,239.3,38.6,美浦小島,470(0)
8,4,5,メイショウシンガン,牡3,57.0,横山琉,1:49.5,ハナ,9,36.9,40.2,栗東高橋忠,464(+2)
9,3,4,マーゴットデウス,セ3,57.0,小沢,1:49.5,クビ,8,35.5,38.7,栗東今野,498(+4)
10,8,14,ワンダーゾルダート,牡3,57.0,松本,1:50.3,5,7,16.5,41.4,栗東羽月,436(-2)
11,2,2,リベンジャー,牡3,57.0,石川倭,1:50.7,2.1/2,11,108.5,39.0,栗東柴田,486(-4)
12,6,9,ロードクローザー,牡3,57.0,横山和,1:53.3,大,3,5.8,44.6,美浦中舘,520(+2)
除外,5,8,ニットウエース,牡3,57.0,浜中,,,,,,美浦稲垣,438(-2)
除外,6,10,アンタレス,牡3,54.0,▲和田陽,,,,,,栗東藤野,502(-6)
