着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,6,6,ラホーヤアイズ,牝2,55.0,松若,1:08.4,,5,9.2,33.6,栗東藤野,408(-2)
2,5,5,バクソウシャチョウ,牡2,55.0,団野,1:08.4,クビ,3,4.3,33.2,栗東森秀,470(+2)
3,7,8,カツダルマ,牡2,55.0,幸,1:08.4,ハナ,1,3.1,32.9,栗東秋山,508(+8)
4,1,1,スマートメモリー,牝2,55.0,吉村,1:08.6,1.1/4,6,14.1,33.6,栗東石坂,432(+4)
5,8,9,アームズラムレイ,牝2,55.0,岩田望,1:08.7,3/4,2,3.3,33.6,栗東上村,468(+6)
6,2,2,インディジャズ,牝2,55.0,松山,1:08.9,1.1/4,4,6.2,33.6,栗東高野,446(-4)
7,7,7,メイケイリチャード,牡2,53.0,△柴田裕,1:09.0,1/2,8,51.4,34.2,栗東中竹,438(-12)
8,4,4,ナムラメアリー,牝2,55.0,田口,1:09.2,1.1/4,7,25.3,33.9,栗東鈴木孝,406(-4)
9,8,10,キシュウマミー,牝2,55.0,国分恭,1:09.6,2.1/2,9,173.1,33.9,栗東安達,436(+2)
10,3,3,ヤマトデュノール,牡2,52.0,▲森田,1:10.5,5,10,415.5,34.6,栗東安達,452(+2)
