馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,オプティミスタ,牝2,石川,美浦・手塚久,,24.9,8,,,,472(0),,,,,,,コントレイル,Equal Stripes,,
2,2,ノーブルフォース,牡2,吉田豊,美浦・菊川,,141.4,11,,,,432(0),,,,,,,ジャスタウェイ,ステイゴールド,,
3,3,プロテウス,牡2,津村,美浦・田中博,,6.0,4,,,,478(0),,,,,,,キタサンブラック,キングカメハメハ,,
4,4,グランドストーリー,牝2,菊沢,美浦・金成,,21.4,7,,,,432(0),,,,,,,ブリックスアンドモルタル,Olympic Glory,,
5,5,ゼラニウム,牡2,コレッ,美浦・平岩,,18.1,6,,,,450(0),,,,,,,マカヒキ,ロードカナロア,,
6,6,アルバスタキヤ,牡2,武藤,美浦・青木,,25.5,10,,,,450(0),,,,,,,ベンバトル,Tiz Wonderful,,
7,6,タイヴァス,牡2,坂井,栗東・矢作,,6.2,5,,,,498(0),,,,,,,ウィルテイクチャージ,ダンスインザダーク,,
8,7,スロノス,牡2,石橋脩,美浦・上原佑,,4.0,2,,,,432(0),,,,,,,ルーラーシップ,ディープインパクト,,
9,7,オーロラトレイル,牝2,北村友,栗東・清水久,,5.4,3,,,,438(0),,,,,,,コントレイル,Successful Appeal,,
10,8,ロジグローリー,牡2,丸山,美浦・牧,,25.2,9,,,,456(0),,,,,,,ロジユニヴァース,エピファネイア,,
11,8,フォルスラヴィ,牡2,田辺,美浦・伊藤大,,3.7,1,,,,508(0),,,,,,,Mystic Guide,Tale of the Cat,,
