着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,3,4,オンザライン,セ8,58.0,小崎,1:52.6,,10,26.4,37.7,美浦大和田,458(+8)
2,8,14,アラレタバシル,牡5,58.0,丸山,1:52.8,1,2,4.2,37.3,美浦松尾,464(0)
3,4,7,ブレトワルダ,セ4,58.0,津村,1:52.8,アタマ,1,3.1,37.6,美浦新開,504(0)
4,6,10,ヴァナルガンド,牡6,58.0,菊沢,1:52.9,クビ,9,23.4,37.4,美浦稲垣,470(-2)
5,5,9,ユキノロイヤル,牡5,58.0,石橋脩,1:53.0,1/2,13,80.9,38.2,美浦小野,454(-8)
6,6,11,リバートゥルー,牝6,56.0,吉田豊,1:53.1,3/4,5,12.7,37.8,美浦久保田,472(0)
7,7,12,ルクスビッグスター,牡6,58.0,武藤,1:53.2,3/4,12,39.3,38.2,栗東清水久,492(+4)
8,7,13,ロフティストーリー,牝4,56.0,大野,1:53.2,ハナ,3,6.2,37.5,美浦久保田,510(+12)
9,2,2,アークドール,牡5,58.0,石川,1:53.3,クビ,11,33.2,37.5,栗東松永幹,450(+4)
10,5,8,プルートマスター,牡7,58.0,坂井,1:53.5,1.1/2,4,9.3,38.8,栗東今野,502(+8)
11,3,5,パフ,牡5,58.0,コレッ,1:53.6,クビ,7,15.2,38.1,栗東橋口,490(+4)
12,2,3,エンセリオ,牝5,56.0,北村友,1:53.9,2,14,144.4,37.7,美浦小笠,468(+16)
13,8,15,モモンウールー,牝5,56.0,原,1:54.7,5,8,16.9,39.7,栗東池添,470(-8)
14,4,6,エスティメート,牡7,58.0,嶋田,1:54.8,1/2,15,233.6,39.8,美浦大和田,470(+4)
15,1,1,クロニクル,セ7,58.0,田辺,1:55.4,3.1/2,6,13.8,40.7,美浦平岩,510(0)
