着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,4,ザハント,セ4,58.0,小沢,1:45.1,,8,22.8,37.7,栗東田中克,486(-2)
2,6,8,アチーヴァー,牡3,55.0,丹内,1:45.1,クビ,2,3.8,37.6,栗東石坂,456(+6)
3,5,5,グレイスフルマーチ,牡4,58.0,斎藤,1:45.1,クビ,1,2.9,37.5,栗東中村,460(0)
4,1,1,エチゴドラゴン,牡3,55.0,荻野琢,1:45.2,クビ,4,6.7,37.3,栗東宮本,472(+4)
5,7,9,クルビデンス,牡3,55.0,佐々木,1:45.5,2,9,23.8,37.8,美浦菊川,474(+4)
6,8,11,ホウオウバローロ,牡5,54.0,★河原田,1:45.9,2.1/2,3,6.4,37.6,栗東前川,468(+2)
7,5,6,ホウオウファラオ,牡3,55.0,横山琉,1:46.0,クビ,10,104.3,38.1,美浦奥村武,470(-2)
8,3,3,ロードスカイブルー,牡4,58.0,落合玄,1:46.4,2.1/2,11,120.8,38.5,美浦和田勇,478(-4)
9,7,10,ココデイック,牡4,58.0,鮫島駿,1:47.0,3.1/2,6,13.5,39.3,栗東藤岡健,498(+4)
10,6,7,ファイアリービート,牡3,54.0,☆長浜,1:47.0,クビ,7,14.7,38.8,美浦鈴木慎,452(0)
11,2,2,チェイサー,牡3,53.0,◇小林美,1:47.3,1.3/4,5,10.1,40.0,美浦相沢,428(0)
12,8,12,カップッチョ,牡9,58.0,黛,1:49.1,大,12,217.6,40.8,美浦佐藤吉,508(+6)
