馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,キタサンハナビラ,牝4,51.0,藤懸,栗東・斉藤崇,,12.4,7,3,,34.6,,阪神,176,中24週,Y,,3,キタサンブラック,Champs Elysees,,
2,1,テーオーダグラス,牡5,55.0,鮫島駿,栗東・須貝,差し,25.6,11,4,,32.9,,阪神,16,中1週,Y,,3,リアルスティール,ハービンジャー,,
3,2,レジェンドシップ,セ6,55.0,浜中,栗東・佐藤悠,先行,8.6,3,1,,36.9,,札幌,23,中2週,Y,,3,ゴールドシップ,クロフネ,,
4,2,ミスタージーティー,牡5,56.0,坂井,栗東・矢作,先行,10.2,5,9,,33.6,,東京,113,中15週,Y,,3,ドゥラメンテ,Sadler's Wells,,
5,3,スパークリシャール,セ5,55.0,ルメー,美浦・小島,追込,13.1,8,2,,35.9,,札幌,30,中3週,Y,,3,スワーヴリチャード,シンボリクリスエス,,
6,3,シンゼンカガ,牡4,55.0,吉田隼,栗東・荒川,差し,49.4,15,5,,33.5,,阪神,16,中1週,Y,,3,トーセンラー,Smart Strike,,
7,4,チルカーノ,牝5,53.0,北村友,栗東・高野,差し,45.1,14,12,,38.5,,札幌,30,中3週,Y,,3,ハービンジャー,キングカメハメハ,,
8,4,アルマデオロ,牡4,57.0,武豊,栗東・清水久,先行,4.5,1,2,,34.8,,札幌,51,中6週,Y,,3,レイデオロ,サクラバクシンオー,,
9,5,ファームツエンティ,セ6,55.0,酒井,栗東・北出,追込,16.2,9,7,,35.4,,阪神,93,中12週,Y,,3,キズナ,ブライアンズタイム,,
10,5,ナリタエスペランサ,牡3,54.0,川田,栗東・福永,,5.3,2,1,,34.4,,小倉,85,中11週,Y,,3,キタサンブラック,Invincible Spirit,,
11,6,ジョイボーイ,牡4,56.0,松山,栗東・四位,差し,10.3,6,4,,34.6,,東京,99,中13週,Y,,3,レイデオロ,ダイワメジャー,,
12,6,サークルオブジョイ,牡5,56.0,西村淳,栗東・池添,差し,35.0,12,6,,35.4,,阪神,93,中12週,Y,,3,Constitution,Colonel John,,
13,7,タイセイフェリーク,牝6,54.0,松若,美浦・青木,差し,53.2,16,8,,35.0,,新潟,22,中2週,Y,,3,ミッキーロケット,ディープインパクト,,
14,7,サトノクローク,牡6,55.0,池添,栗東・橋口,先行,37.1,13,6,,34.1,,中京,58,中7週,Y,,3,サトノクラウン,ディープインパクト,,
15,8,ベトルス,セ5,57.0,岩田望,栗東・友道,先行,9.1,4,6,,35.0,,東京,99,中13週,Y,,3,ハーツクライ,To Honor and Serve,,
16,8,ロードガレリア,牡4,56.0,吉村,栗東・藤岡健,差し,20.3,10,1,,34.9,,阪神,92,中12週,Y,,3,フィエールマン,ロードカナロア,,
