馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ロイヤルグルーヴ,牝2,53.0,小林美,美浦・柄崎,,28.5,8,,,,426(0),,,,,,,サンダースノー,フレンチデピュティ,,
2,1,ドナミモザ,牝2,54.0,長浜,美浦・武市,,64.7,13,,,,426(0),,,,,,,サンダースノー,ロードカナロア,,
3,2,モルスリール,牡2,55.0,戸崎圭,美浦・高木,,2.6,1,,,,532(0),,,,,,,ニューイヤーズデイ,ゴールドアリュール,,
4,2,コパノキラキラ,牡2,55.0,柴田大,美浦・上原博,,38.8,10,,,,516(0),,,,,,,ルヴァンスレーヴ,ゴールドアリュール,,
5,3,プラチナリーフ,牡2,55.0,ルメー,美浦・林,,3.8,2,,,,532(0),,,,,,,クリソベリル,ヘニーヒューズ,,
6,3,ブリッド,牡2,55.0,横山琉,美浦・和田勇,,215.1,16,,,,492(0),,,,,,,マインドユアビスケッツ,ダイワメジャー,,
7,4,スパーキー,牡2,55.0,杉原,美浦・加藤士,,43.1,11,,,,534(0),,,,,,,コパノリッキー,エスケンデレヤ,,
8,4,ブルーサンタ,牡2,55.0,ミシェ,美浦・斎藤誠,,9.2,5,,,,452(0),,,,,,,ダノンレジェンド,ネオユニヴァース,,
9,5,ツイストマインド,牡2,55.0,内田博,美浦・古賀慎,,9.0,4,,,,476(0),,,,,,,マインドユアビスケッツ,ゼンノロブロイ,,
10,5,セイトゥゴールド,牡2,55.0,原田和,美浦・古賀大,,214.0,15,,,,460(0),,,,,,,サリオス,Dubawi,,
11,6,オレガイチバンイイ,牡2,55.0,,美浦・鈴木慎,,92.6,14,,,,528(0),,,,,,,ビッグアーサー,ダイワメジャー,,
12,6,ゼットターム,牡2,55.0,武藤,美浦・林,,22.9,7,,,,466(0),,,,,,,ニューイヤーズデイ,ヘニーヒューズ,,
13,7,ボスヒッツ,セ2,55.0,江田照,美浦・加藤征,,7.1,3,,,,454(0),,,,,,,シニスターミニスター,ゴールドアリュール,,B
14,7,アイビーナツユメ,牝2,55.0,木幡巧,美浦・牧,,55.3,12,,,,460(0),,,,,,,Mendelssohn,Roman Ruler,,
15,8,ジェイエルバージ,牡2,55.0,田辺,美浦・伊坂,,22.6,6,,,,508(0),,,,,,,デクラレーションオブウォー,ヨハネスブルグ,,
16,8,ココル,牝2,55.0,横山和,美浦・村田,,31.6,9,,,,442(0),,,,,,,ホッコータルマエ,エピファネイア,,
