騎手,粒度,条件,n,勝利数,複勝内数,勝率,複勝率,単勝回収率,信頼できる母数
菊沢,場×距離帯×馬場,東京/芝/短距離(~1400),5,1,1,0.2,0.2,41.44,False
▲川端,場×距離帯×馬場,中京/ダ/短距離(~1400),9,1,2,0.1111,0.2222,29.1111,False
太宰,場×距離帯×馬場,京都/芝/短距離(~1400),5,2,2,0.4,0.4,23.06,False
▲田山,場×距離帯×馬場,阪神/ダ/短距離(~1400),11,1,3,0.0909,0.2727,22.9455,False
▲川端,脚質×距離帯,先行/短距離(~1400),12,1,3,0.0833,0.25,21.8333,False
斎藤,場×距離帯×馬場,中京/芝/中距離(1801-2200),5,2,3,0.4,0.6,21.08,False
池添,場×距離帯×馬場,阪神/ダ/マイル(1401-1800),5,1,2,0.2,0.4,18.08,False
嶋田,場,東京,15,1,2,0.0667,0.1333,16.2867,False
▲川端,脚質,先行,17,1,3,0.0588,0.1765,15.4118,False
柴田大,場×距離帯×馬場,新潟/ダ/短距離(~1400),6,1,1,0.1667,0.1667,14.9667,False
富田,場×距離帯×馬場,福島/ダ/マイル(1401-1800),5,1,1,0.2,0.2,13.12,False
柴田大,場×距離帯×馬場,中山/ダ/短距離(~1400),8,1,1,0.125,0.125,12.6375,False
吉村,場,新潟,5,2,2,0.4,0.4,12.22,False
原,場×距離帯×馬場,中山/ダ/短距離(~1400),23,1,1,0.0435,0.0435,12.1696,False
▲田山,場,阪神,22,1,4,0.0455,0.1818,11.4727,False
▲川端,場,中京,24,1,2,0.0417,0.0833,10.9167,False
▲川端,枠番,中枠(3-6),29,2,6,0.069,0.2069,10.7966,False
浜中,場×距離帯×馬場,京都/芝/マイル(1401-1800),15,5,8,0.3333,0.5333,10.6733,False
嶋田,脚質×距離帯,先行/短距離(~1400),23,1,5,0.0435,0.2174,10.6217,False
原,場×距離帯×馬場,新潟/芝/中距離(1801-2200),8,1,2,0.125,0.25,10.575,False
吉田隼,場×距離帯×馬場,福島/ダ/マイル(1401-1800),5,1,3,0.2,0.6,10.14,False
西塚,場×距離帯×馬場,小倉/芝/中距離(1801-2200),8,4,5,0.5,0.625,10.075,False
