馬番,枠番,馬名,性齢,斤量,騎手,前走着順,前走レース名,上がり3F,調教評価,血統父,血統母父,乗り替わり,前走不利,休養日数,前走ハンデ戦,脚質,道悪巧者
1,1,リトルビッグホーン,セ5,55.0,御神本訓,12,オフト後(B2)・大井ダ1400・不良,37.9,,,,,,,,先行,
2,2,ダヴァンティ,牝5,55.0,張田昂,6,'26ヴ(3上)OP・浦和ダ1400・不良,38.9,,,,,,,,逃げ,
3,3,クレールジャック,牡6,57.0,吉井章,2,サマート(B2B3)・大井ダ1200・不良,37.5,,,,,,,,逃げ,Y
4,3,ウインドフレイバー,牡6,57.0,町田直希,2,葉月特別(B1B2)・浦和ダ1400・良,38.8,,,,,,,,差し,
5,4,タケシ,牡5,57.0,野畑凌,3,春風賞競(B1B2)・大井ダ1400・不良,37.5,,,,,,,,逃げ,Y
6,4,サッキーミツグ,牡5,57.0,高橋昭平,5,葉月賞競(B1)・大井ダ1200・不良,37.5,,,,,,,,逃げ,
7,5,ゴールドジャッジ,牡7,57.0,鷹見陸,3,葉月賞競(B1)・大井ダ1200・不良,38.2,,,,,,,,差し,Y
8,5,オーシンハーフ,セ5,57.0,和田譲治,4,葉月特別(B1B2)・浦和ダ1400・良,37.9,,,,,,,,追込,
9,6,サブノハクタカ,牡8,57.0,藤本現暉,8,葉月賞競(B1)・大井ダ1200・不良,38.4,,,,,,,,追込,
10,6,コスモソンジュ,牡5,54.0,小野俊斗,7,サマート(B2B3)・大井ダ1200・不良,37.0,,,,,,,,差し,
11,7,プレストステラ,牡6,57.0,本橋孝太,2,葉月賞競(B1)・大井ダ1200・不良,37.4,,,,,,,,差し,Y
12,7,トゥースパークル,牡8,57.0,Ｆ．ゴン,2,ロマンテ(B1)・大井ダ1400・稍重,37.6,,,,,,,,追込,
13,8,オリージネアリア,牝4,53.0,笹川翼,1,葉月特別(B1B2)・浦和ダ1400・良,39.8,,,,,,,,逃げ,
14,8,マイネルボンバー,牡6,57.0,藤田凌,6,サードニ(B1B2)・大井ダ1800・稍重,41.8,,,,,,,,先行,
